Sun. Jun. 23, 2013             LANDSAT 5                 Time: 22:34
                         Image Assessment System
                           GCP Residual Report
----------------------------------------------------------------------------
WOID: L7637067            Path/Row: 123 / 039

L0R Reference Image: L51BJC1087253020100_HDF.131750324
Acquisition Date: Sep 10, 1987

Band Number:  5

GeoCover date for each WRS-2 path/row used:
Path  Row   Date
123   039   2002-07-09


Point_ID      Latitude  Longitude    Height       Across    Along    Residual  Residual
                                                   Scan      Scan      In y      in x
                                                 Residual  Residual    dir       dir
                (deg)     (deg)     (meters)     (meters)  (meters)  (meters)  (meters)

1230390003   30.557064  114.263119    47.545       3.105    -4.979     3.774    -4.496
1230390004   30.595490  114.262531    19.869      -1.003    -0.788    -0.886    -0.923
1230390005   30.639356  114.397891    16.034       4.495    -0.026     4.452     0.607
1230390008   30.593502  114.298422    24.360       3.495     1.469     3.252     1.947
1230390009   30.662270  114.441871    19.063       3.014    -4.737     3.647    -4.271
1230390010   30.685322  114.356938     8.343      -2.666    -3.324    -2.179    -3.671
1230390014   30.800281  114.469657    12.044       3.561    -1.884     3.788    -1.367
1230390016   30.962206  114.658784    15.000       6.768     2.945     6.288     3.869
1230390020   30.692212  114.256393     8.657      -0.203    -6.716     0.740    -6.683
1230390021   29.858830  114.242932    29.426      -2.487     3.138    -2.914     2.755
1230390022   30.520495  114.371249    21.647       4.930    -1.154     5.042    -0.448
1230390023   30.406797  114.079586    12.131      -1.729     2.709    -2.098     2.440
1230390025   30.845695  114.530537     6.067      -4.100     6.931    -5.043     6.292
1230390026   30.593772  114.319694    14.211       3.619    -2.495     3.933    -1.962
1230390027   29.543311  113.377487    66.833       0.364    -2.711     0.750    -2.632
1230390028   30.921771  114.673240    15.000      -1.498     0.146    -1.513    -0.067
1230390029   30.519592  114.247180    12.853       3.631     0.221     3.563     0.731
1230390030   30.383235  114.301939     9.115       0.149     4.076    -0.432     4.059
1230390033   30.537261  114.189017    12.585      -5.052     4.257    -5.608     3.506
1230390034   30.546459  114.360896    20.225       0.892     2.414     0.538     2.517
1230390035   30.777256  114.481046    10.017      -2.256     5.288    -2.985     4.923
1230390036   29.894334  114.012149    23.991       0.009    -3.816     0.546    -3.780
