==============================================================================
==============================================================================
Mon. Jun. 24 2013                  LANDSAT 7                       Time: 03:39
                            Image Assessment System
                            GEOMETRIC VERIFY Report
==============================================================================
Order ID: 0101306231539_00067                          Path / Row - 123 / 39
Reference Image: L51BJC1087253020100_HDF.L1G

Color mapping per rank
----------------------
Rank  1 is Green: total residual <= 0.5
Rank  2 is Cyan: 0.5 < total residual <=  1
Rank  3 is Blue:  1 < total residual <=  2
Rank  4 is Yellow:  2 < total residual <=  3
Rank  5 is Red:  3 < total residual

Percentage of residuals by rank
-------------------------------
Rank   1 -- 97.8%
Rank   2 --  2.2%
Rank   3 --  0.0%
Rank   4 --  0.0%
Rank   5 --  0.0%

       GCP    Latitude    Longitude  Sample   Line     Total    Rank
        ID                           Residual Residual Residual
              (Degree)    (Degree)   (Pixel)  (Pixel)  (Pixel)
----------------------------------------------------------------------
1230390015   31.20915    113.16411    -0.34     -0.35     0.49     1 
1230390016   31.20861    113.19621    -0.17     -0.17     0.24     1 
1230390089   31.18508    113.13146    -0.14      0.12     0.19     1 
1230390092   31.18344    113.22774     0.03     -0.09     0.09     1 
1230390093   31.18288    113.25983    -0.07     -0.12     0.14     1 
1230390095   31.18174    113.32400     0.03      0.05     0.05     1 
1230390096   31.18116    113.35609    -0.23     -0.01     0.23     1 
1230390097   31.18057    113.38818    -0.20     -0.04     0.21     1 
1230390163   31.16099    113.09882    -0.31     -0.20     0.37     1 
1230390164   31.16046    113.13091    -0.30      0.03     0.30     1 
1230390165   31.15992    113.16299    -0.33     -0.16     0.36     1 
1230390167   31.15883    113.22716    -0.10     -0.07     0.13     1 
1230390168   31.15827    113.25924     0.22      0.06     0.23     1 
1230390169   31.15770    113.29132     0.07      0.17     0.18     1 
1230390170   31.15713    113.32340     0.00      0.04     0.04     1 
1230390171   31.15655    113.35548    -0.01      0.18     0.18     1 
1230390172   31.15595    113.38756     0.10      0.12     0.16     1 
1230390173   31.15536    113.41964    -0.31     -0.00     0.31     1 
1230390174   31.15475    113.45171    -0.12     -0.05     0.13     1 
1230390175   31.15413    113.48379    -0.06      0.05     0.08     1 
1230390176   31.15351    113.51586     0.04     -0.13     0.13     1 
1230390178   31.15224    113.58001     0.02      0.06     0.06     1 
1230390179   31.15159    113.61208    -0.02      0.02     0.03     1 
1230390238   31.13637    113.09828    -0.28     -0.11     0.30     1 
1230390240   31.13531    113.16244    -0.18     -0.42     0.45     1 
1230390244   31.13309    113.29073    -0.13      0.01     0.13     1 
1230390245   31.13252    113.32280    -0.14     -0.00     0.14     1 
1230390246   31.13193    113.35487    -0.14     -0.20     0.24     1 
1230390247   31.13134    113.38694    -0.32     -0.05     0.32     1 
1230390248   31.13074    113.41901    -0.05     -0.13     0.14     1 
1230390249   31.13014    113.45108    -0.09      0.01     0.09     1 
1230390250   31.12952    113.48315    -0.20      0.12     0.23     1 
1230390251   31.12890    113.51521    -0.00      0.09     0.09     1 
1230390252   31.12827    113.54728     0.05     -0.09     0.10     1 
1230390253   31.12763    113.57934    -0.07     -0.15     0.17     1 
1230390254   31.12699    113.61141    -0.44      0.10     0.45     1 
1230390255   31.12633    113.64347    -0.09     -0.00     0.09     1 
1230390257   31.12500    113.70759     0.25     -0.08     0.27     1 
1230390259   31.12364    113.77170     0.09      0.33     0.34     1 
1230390260   31.12294    113.80376     0.05      0.09     0.11     1 
1230390313   31.11175    113.09774    -0.20      0.03     0.20     1 
1230390314   31.11123    113.12981    -0.09     -0.00     0.09     1 
1230390315   31.11069    113.16188    -0.45     -0.21     0.50     1 
1230390316   31.11015    113.19394    -0.16     -0.21     0.26     1 
1230390317   31.10960    113.22601    -0.32     -0.24     0.40     1 
1230390318   31.10904    113.25808    -0.17     -0.06     0.18     1 
1230390320   31.10790    113.32220     0.00     -0.01     0.01     1 
1230390321   31.10732    113.35426     0.03     -0.17     0.18     1 
1230390322   31.10673    113.38633    -0.07     -0.20     0.22     1 
1230390323   31.10613    113.41839    -0.10     -0.09     0.14     1 
1230390324   31.10553    113.45045    -0.17     -0.35     0.39     1 
1230390325   31.10491    113.48251    -0.13     -0.04     0.14     1 
1230390327   31.10366    113.54662    -0.20     -0.07     0.21     1 
1230390328   31.10302    113.57868    -0.22     -0.17     0.28     1 
1230390329   31.10238    113.61073    -0.14     -0.01     0.14     1 
1230390330   31.10172    113.64279     0.01      0.13     0.13     1 
